gender,year,month,day,school,height,pheight,mheight,math,class,games,exercise,TV,weather,hand,computer,vote,GPA_HS,sit,drink,caffeine,sleep,games_hours,friends,morning,commute,distance,GPA_UW,Exam1,gamble1,sport,color,temperature,siblings,birth_order,gamble,prob1,superpower,introvert,pref_age,commute2,age
Female,1996,November,6,In Washington State,64,68,68,Just a little,Just a little,Not at all,A fair amount,Very much,A fair amount,Right,Apple,Other,3.95,In the middle,4,1,8,0,957,An evening person,walk,,3.4,94,Yes,Soccer,Green,80,1,1,Yes,1/2,Flight,disagree,25,frat,21.25
Female,1995,July,12,In the US but outside of Washington State,61,64,60,Not at all,Just a little,A fair amount,Just a little,Very much,Very much,Right,I don't use computers,I never (or can't) vote,3.8,Toward the back,0,,8,4,714,An evening person,walk,,2.45,40,No,None of the above,Pink,46,1,1,No,,Flight,neutral,16,dorm,22.5833
Male,1995,March,5,In Washington State,70,69,63,A fair amount,A fair amount,Very much,Just a little,Very much,Just a little,Right,PC,Democrat,3.85,Near the front,3,0,10,3,300,An evening person,bus,20,3.02,90,Yes,None of the above,Green,52,1,2,Yes,1/2,Flight,neutral,20,drive,22.9167
Female,1996,December,19,In Washington State,62,64,63,Not at all,Just a little,Very much,Just a little,A fair amount,Not at all,Right,Apple,Democrat,2.9,Near the front,5,1,7,2,347,An evening person,drive,40,3.2,90,No,None of the above,Pink,30,2,3,No,1/2,Invisibility,agree,16,drive,21.1667
Female,1970,January,22,Outside of the US,62,72,68,Not at all,Just a little,Not at all,A fair amount,Just a little,Just a little,Right,Apple,Independent,3.5,Near the front,0,1,8,0,120,A morning person,bus,15,3.4,90,No,None of the above,Blue,70,4,2,No,1/4,Invisibility,neutral,4,drive,48.0833
Female,1997,November,19,In Washington State,66,68,65,Just a little,Just a little,A fair amount,Just a little,Very much,A fair amount,Right,PC,Democrat,3.74,In the middle,4,0,6,2,605,An evening person,walk,0,3.43,80,Yes,American Football,Blue,79,2,3,Yes,1/2,Invisibility,neutral,25,dorm,20.25
Female,1997,October,25,Outside of the US,63,,,Just a little,Just a little,,A fair amount,A fair amount,A fair amount,Right,Apple,I never (or can't) vote,3,In the middle,0,0,6,0,784,Neither,drive,13,3,80,Yes,Basketball,Red,50,1,1,Yes,1/2,Flight,neutral,21,drive,20.3333
Female,1995,August,4,In Washington State,65,69,64,Not at all,Not at all,Not at all,Just a little,A fair amount,A fair amount,Right,Apple,Republican,3.5,Toward the back,1,1,7,0,485,A morning person,walk,43,3,80,Yes,Basketball,Purple,72,1,1,Yes,1/2,Flight,disagree,21,walk,22.5
Female,1997,September,27,In the US but outside of Washington State,65,70,65,Just a little,Just a little,Not at all,Very much,,Very much,Right,Apple,Democrat,4.1,Toward the back,4,1,7,0,762,An evening person,walk,0.2,3.58,80,No,Soccer,Blue,70,0,1,No,1/2,Flight,agree,21,frat,20.4167
Male,1996,February,6,In the US but outside of Washington State,68,68,54,Not at all,A fair amount,Very much,Just a little,Very much,Just a little,Right,Apple,Independent,3.8,Toward the back,2,3,8,3,800,An evening person,walk,1,3.33,70,No,Basketball,Blue,50,0,1,No,1/2,Flight,neutral,21,walk,22
